ar,smasvaedi,fjoldi
2015,2705,781
2015,2801,904
2015,2802,682
2015,2803,1055
2015,2804,954
2015,2901,1137
2015,2902,574
2015,2903,658
2015,2904,1441
2015,3001,351
2015,3002,292
2015,3003,722
2015,3004,642
2015,3005,571
2015,3006,554
2015,3101,1010
2015,3102,474
2015,3103,741
2015,3104,672
2015,3105,495
2015,3201,470
2015,3202,708
2015,3203,688
2015,3204,1064
2015,3205,389
2015,3301,694
2015,3302,967
2015,3303,626
2015,3304,1008
2015,3305,1087
2015,3401,1125
2015,3402,515
2015,3403,1425
2015,3404,503
2015,3501,479
2015,3502,798
2015,3503,644
2015,3504,1375
2015,3601,973
2015,3602,951
2015,3603,1159
2015,3701,608
2015,3702,768
2015,3703,768
2015,3704,507
2015,3801,605
2015,3802,457
2015,3803,635
2015,3804,848
2015,3901,925
2015,3902,812
2015,3903,1117
2015,3904,870
2015,4001,596
2015,4002,1109
2015,4003,594
2015,4101,739
2015,4102,1436
2015,4103,540
2015,4201,827
2015,4202,595
2015,4203,677
2015,4204,571
2016,0101,717
2016,0102,524
2016,0103,648
2016,0104,545
2016,0201,507
2016,0202,800
2016,0203,816
2016,0204,709
2016,0205,689
2016,0206,838
2016,0207,442
2016,0208,733
2016,0301,1189
2016,0302,1192
2016,0303,766
2016,0304,1058
2016,0401,1151
2016,0402,1215
2016,0403,650
2016,0404,1159
2016,0405,1135
2016,0501,817
2016,0502,816
2016,0503,641
2016,0504,653
2016,0601,1166
2016,0602,929
2016,0603,437
2016,0604,791
2016,0605,535
2016,0606,832
2016,0701,740
2016,0702,621
2016,0703,816
2016,0704,1087
2016,0705,975
2016,0706,1426
2016,0707,611
2016,0708,922
2016,0801,801
2016,0802,617
2016,0803,1074
2016,0804,1319
2016,0805,774
2016,0806,959
2016,0807,770
2016,0901,1170
2016,0902,721
