ar,smasvaedi,kyn,aldursflokkur,fjoldi
2014,3302,1,0-4 ára,51
2009,2403,1,0-4 ára,95
2013,2005,2,0-4 ára,65
2020,2803,2,0-4 ára,86
2018,1003,2,0-4 ára,60
2024,2008,1,0-4 ára,25
2011,2106,2,0-4 ára,100
2014,0503,2,0-4 ára,34
2008,3004,2,0-4 ára,43
2016,0704,1,0-4 ára,64
2009,1807,1,0-4 ára,90
2009,1702,2,0-4 ára,29
2015,2504,1,0-4 ára,55
2010,2205,1,0-4 ára,89
2022,1806,1,0-4 ára,35
2024,0603,2,0-4 ára,21
2011,2502,1,0-4 ára,26
2023,1803,1,0-4 ára,251
2017,1504,1,0-4 ára,61
2023,2504,1,0-4 ára,72
2012,0708,1,0-4 ára,61
2012,0904,2,0-4 ára,42
2015,1901,1,0-4 ára,75
2021,1303,2,0-4 ára,39
2018,3403,2,0-4 ára,87
2016,4003,1,0-4 ára,30
2013,0904,1,0-4 ára,45
2016,3804,2,0-4 ára,49
2012,1104,1,0-4 ára,58
2020,1701,2,0-4 ára,35
2024,0703,1,0-4 ára,49
2013,1703,1,0-4 ára,44
2022,1810,2,0-4 ára,20
2017,0904,2,0-4 ára,53
2018,2701,1,0-4 ára,41
2009,0706,2,0-4 ára,89
2011,3201,2,0-4 ára,38
2018,1004,2,0-4 ára,61
2015,1102,2,0-4 ára,59
2010,0801,2,0-4 ára,48
2011,1806,2,0-4 ára,28
2022,1206,2,0-4 ára,28
2015,3203,1,0-4 ára,57
2009,3003,2,0-4 ára,54
2018,3006,1,0-4 ára,35
2008,2903,1,0-4 ára,49
2011,0802,2,0-4 ára,24
2008,0301,2,0-4 ára,61
2024,4001,2,0-4 ára,21
2024,3006,2,0-4 ára,41
2017,1201,1,0-4 ára,32
2022,1903,2,0-4 ára,16
2020,1206,1,0-4 ára,38
2009,0904,2,0-4 ára,47
2015,2804,2,0-4 ára,57
2015,1303,2,0-4 ára,34
2016,1104,1,0-4 ára,51
2017,1807,1,0-4 ára,56
2018,0204,1,0-4 ára,36
2022,2405,2,0-4 ára,92
2013,0706,1,0-4 ára,81
2011,1603,2,0-4 ára,78
2016,3202,1,0-4 ára,45
2017,4002,2,0-4 ára,55
2008,1104,1,0-4 ára,74
2024,3004,2,0-4 ára,164
2011,2002,2,0-4 ára,24
2013,3105,1,0-4 ára,35
2012,1401,2,0-4 ára,97
2018,1704,1,0-4 ára,47
2019,0206,2,0-4 ára,50
2022,0104,2,0-4 ára,33
2018,2105,2,0-4 ára,48
2012,0303,2,0-4 ára,37
2016,1804,2,0-4 ára,34
2015,3701,1,0-4 ára,32
2013,2106,2,0-4 ára,62
2009,2601,1,0-4 ára,54
2011,1702,1,0-4 ára,28
2020,0102,1,0-4 ára,26
2014,0207,1,0-4 ára,50
2021,1202,1,0-4 ára,90
2018,2406,2,0-4 ára,37
